日付,台番号,上位に入ったか,実台コード,大当たり件数,上位区間数,判定根拠,最大区間実獲得
2026-08-12,3075,○,M0001,44,1,たい焼き推定,2179
2026-08-12,3076,×,M0002,14,0,,
2026-08-12,3077,○,M0003,60,4,たい焼き推定 / 実獲得1000枚以上,2662
2026-08-12,3078,×,M0004,16,0,,
2026-08-12,3079,○,M0005,70,4,たい焼き推定 / 実獲得1000枚以上,4291
2026-08-12,3080,○,M0006,67,3,たい焼き推定 / ST3連かつAT400枚以上,2726
2026-08-12,3081,×,M0007,15,0,,
2026-08-12,3082,○,M0008,82,6,たい焼き推定 / 実獲得1000枚以上 / ST3連かつAT400枚以上,4884
2026-08-12,3083,×,M0009,24,0,,
2026-08-12,3084,○,M0010,39,1,実獲得1000枚以上,1058
2026-08-12,3085,○,M0011,18,1,実獲得1000枚以上,1158
2026-08-12,3086,○,M0012,50,1,たい焼き推定,2566
2026-08-12,3087,○,M0013,50,2,たい焼き推定 / ST3連かつAT400枚以上,2022
2026-08-12,3150,○,M0014,52,1,実獲得1000枚以上,1040
2026-08-12,3151,×,M0015,17,0,,
2026-08-12,3152,○,M0016,48,1,たい焼き推定,2297
2026-08-12,3153,○,M0017,63,3,たい焼き推定 / 実獲得1000枚以上 / ST3連かつAT400枚以上,2375
2026-08-12,3154,○,M0018,60,3,たい焼き推定 / 実獲得1000枚以上,3620
2026-08-12,3155,○,M0019,33,2,実獲得1000枚以上,1083
2026-08-12,3156,○,M0020,66,3,たい焼き推定 / ST3連かつAT400枚以上,7868
2026-08-12,3157,×,M0021,22,0,,
2026-08-12,3158,×,M0022,25,0,,
2026-08-12,3159,○,M0023,49,1,たい焼き推定,7029
2026-08-12,3160,○,M0024,11,1,たい焼き推定,2713
2026-08-12,3161,○,M0025,35,1,実獲得1000枚以上,1202
2026-08-12,3162,×,M0026,16,0,,
2026-08-12,3163,○,M0027,70,5,たい焼き推定 / 実獲得1000枚以上 / ST3連かつAT400枚以上,4692
2026-08-12,3164,○,M0028,76,1,たい焼き推定,5004
2026-08-12,3165,○,M0029,79,3,たい焼き推定 / 実獲得1000枚以上,7424
2026-08-12,3166,○,M0030,86,3,たい焼き推定 / 実獲得1000枚以上,6074
2026-08-13,3075,○,M0001,69,5,たい焼き推定 / 実獲得1000枚以上,4441
2026-08-13,3076,○,M0002,69,2,たい焼き推定,3499
2026-08-13,3077,○,M0003,70,2,たい焼き推定,2479
2026-08-13,3078,○,M0004,84,5,たい焼き推定 / ST3連かつAT400枚以上,8929
2026-08-13,3079,○,M0005,45,1,たい焼き推定,2063
2026-08-13,3080,○,M0006,64,4,たい焼き推定 / 実獲得1000枚以上,3954
2026-08-13,3081,○,M0007,68,4,たい焼き推定 / 実獲得1000枚以上,2533
2026-08-13,3082,○,M0008,53,2,たい焼き推定 / 実獲得1000枚以上,6344
2026-08-13,3083,○,M0009,52,2,たい焼き推定 / 実獲得1000枚以上,2331
2026-08-13,3084,○,M0010,46,1,たい焼き推定,5761
2026-08-13,3085,×,M0011,31,0,,
2026-08-13,3086,○,M0012,56,4,たい焼き推定 / 実獲得1000枚以上,2676
2026-08-13,3087,○,M0013,63,4,たい焼き推定 / 実獲得1000枚以上,1591
2026-08-13,3150,○,M0014,65,1,実獲得1000枚以上,1031
2026-08-13,3151,○,M0015,77,2,たい焼き推定,6440
2026-08-13,3152,○,M0016,52,2,たい焼き推定 / 実獲得1000枚以上,4069
2026-08-13,3153,○,M0017,53,1,たい焼き推定,3167
2026-08-13,3154,○,M0018,64,2,たい焼き推定,2926
2026-08-13,3155,○,M0019,57,4,たい焼き推定,3040
2026-08-13,3156,×,M0020,31,0,,
2026-08-13,3157,○,M0021,53,1,実獲得1000枚以上,1425
2026-08-13,3158,○,M0022,55,3,たい焼き推定 / 実獲得1000枚以上,3971
2026-08-13,3159,○,M0023,58,1,実獲得1000枚以上,1374
2026-08-13,3160,○,M0024,80,4,たい焼き推定 / 実獲得1000枚以上,3590
2026-08-13,3161,○,M0025,66,3,たい焼き推定 / 実獲得1000枚以上,4837
2026-08-13,3162,○,M0026,50,1,実獲得1000枚以上,1269
2026-08-13,3163,○,M0027,59,2,たい焼き推定 / 実獲得1000枚以上,1802
2026-08-13,3164,○,M0028,74,3,たい焼き推定 / 実獲得1000枚以上,2745
2026-08-13,3165,○,M0029,64,4,たい焼き推定 / 実獲得1000枚以上 / ST3連かつAT400枚以上,2113
2026-08-13,3166,○,M0030,64,2,たい焼き推定 / ST3連かつAT400枚以上,2972
2026-08-14,3075,○,M0001,46,1,たい焼き推定,2394
2026-08-14,3076,○,M0002,70,4,たい焼き推定,3185
