store_id,model_id,machine_id,unit_number,date_from,date_to,zone_150g,zone_250g,zone_450g,zone_650g,over_zone_650g,zone_1000g,over_3time_single,zone_special
100928,1,M0001,3075,2026-08-12,2026-09-01,4,23,0,13,10,8,11,4
100928,1,M0002,3076,2026-08-12,2026-09-01,4,9,0,11,12,6,9,4
100928,1,M0003,3077,2026-08-12,2026-09-01,4,27,3,9,14,9,12,7
100928,1,M0004,3078,2026-08-12,2026-09-01,8,26,2,9,7,7,10,10
100928,1,M0005,3079,2026-08-12,2026-09-01,5,25,1,21,18,7,13,6
100928,1,M0006,3080,2026-08-12,2026-09-01,1,9,2,14,19,12,12,3
100928,1,M0007,3081,2026-08-12,2026-09-01,6,18,2,11,14,6,14,8
100928,1,M0008,3082,2026-08-12,2026-09-01,6,17,4,18,15,7,7,10
100928,1,M0009,3083,2026-08-12,2026-09-01,1,10,2,15,11,11,10,3
100928,1,M0010,3084,2026-08-12,2026-09-01,2,16,1,18,12,8,10,3
100928,1,M0011,3085,2026-08-12,2026-09-01,7,14,2,14,14,12,12,9
100928,1,M0012,3086,2026-08-12,2026-09-01,6,21,3,14,14,15,12,9
100928,1,M0013,3087,2026-08-12,2026-09-01,4,14,4,13,15,10,10,8
100928,1,M0014,3150,2026-08-12,2026-09-01,6,15,1,15,9,14,12,7
100928,1,M0015,3151,2026-08-12,2026-09-01,6,11,1,13,13,11,9,7
100928,1,M0016,3152,2026-08-12,2026-09-01,4,16,1,12,16,10,7,5
100928,1,M0017,3153,2026-08-12,2026-09-01,7,20,3,12,15,11,12,10
100928,1,M0018,3154,2026-08-12,2026-09-01,9,12,1,9,11,9,14,10
100928,1,M0019,3155,2026-08-12,2026-09-01,9,21,1,8,17,6,12,10
100928,1,M0020,3156,2026-08-12,2026-09-01,3,17,2,14,13,10,8,5
100928,1,M0021,3157,2026-08-12,2026-09-01,6,27,2,12,15,11,14,8
100928,1,M0022,3158,2026-08-12,2026-09-01,8,28,1,10,12,12,18,9
100928,1,M0023,3159,2026-08-12,2026-09-01,6,17,0,10,17,3,8,6
100928,1,M0024,3160,2026-08-12,2026-09-01,6,22,2,15,14,4,11,8
100928,1,M0025,3161,2026-08-12,2026-09-01,8,26,3,15,18,8,16,11
100928,1,M0026,3162,2026-08-12,2026-09-01,6,22,1,18,14,10,15,7
100928,1,M0027,3163,2026-08-12,2026-09-01,4,24,1,14,10,8,11,5
100928,1,M0028,3164,2026-08-12,2026-09-01,6,22,1,19,12,10,13,7
100928,1,M0029,3165,2026-08-12,2026-09-01,9,18,3,15,15,9,9,12
100928,1,M0030,3166,2026-08-12,2026-09-01,6,25,1,17,10,6,11,7
