store_id,model_id,data_date,machine_count,zone_150g,zone_250g,zone_450g,zone_650g,over_zone_650g,zone_1000g,over_3time_single,zone_special
100928,1,2026-08-12,30,8,24,3,17,16,13,14,11
100928,1,2026-08-13,30,10,30,3,20,29,18,29,13
100928,1,2026-08-14,30,13,29,3,23,29,21,26,16
100928,1,2026-08-15,30,10,35,2,23,28,32,24,12
100928,1,2026-08-16,30,14,39,3,26,23,20,26,17
100928,1,2026-08-17,30,7,21,3,22,15,13,14,10
100928,1,2026-08-18,30,3,12,0,4,7,3,4,3
100928,1,2026-08-19,30,2,15,2,11,9,12,10,4
100928,1,2026-08-20,30,6,16,4,19,22,11,20,10
100928,1,2026-08-23,30,16,38,5,25,28,15,18,21
100928,1,2026-08-24,30,6,44,4,28,27,15,24,10
100928,1,2026-08-25,30,4,31,5,25,22,10,15,9
100928,1,2026-08-26,30,17,30,1,18,20,12,15,18
100928,1,2026-08-27,30,4,19,1,16,13,8,10,5
100928,1,2026-08-28,30,9,30,2,23,26,11,16,11
100928,1,2026-08-29,30,10,43,3,34,37,15,22,13
100928,1,2026-08-30,30,8,56,2,27,25,18,21,10
100928,1,2026-08-31,30,13,46,3,34,18,16,24,16
100928,1,2026-09-01,30,7,14,2,13,12,7,10,9
