machine_code,unit_number,data_date,sampled_at_jst,slump_value
M0001,3075,2026-08-11,2026-08-11T10:53:13+09:00,-100
M0001,3075,2026-08-11,2026-08-11T11:28:39+09:00,500
M0001,3075,2026-08-11,2026-08-11T12:02:43+09:00,-100
M0001,3075,2026-08-11,2026-08-11T12:36:02+09:00,1300
M0001,3075,2026-08-11,2026-08-11T13:06:25+09:00,2800
M0001,3075,2026-08-11,2026-08-11T14:09:42+09:00,4300
M0001,3075,2026-08-11,2026-08-11T14:50:37+09:00,4000
M0001,3075,2026-08-11,2026-08-11T15:29:09+09:00,4200
M0001,3075,2026-08-11,2026-08-11T16:05:23+09:00,3500
M0001,3075,2026-08-11,2026-08-11T16:40:17+09:00,4000
M0001,3075,2026-08-11,2026-08-11T18:06:29+09:00,3700
M0001,3075,2026-08-11,2026-08-11T18:41:47+09:00,3100
M0001,3075,2026-08-11,2026-08-11T19:30:51+09:00,3300
M0001,3075,2026-08-11,2026-08-11T20:08:57+09:00,2600
M0001,3075,2026-08-11,2026-08-11T21:03:30+09:00,3000
M0001,3075,2026-08-11,2026-08-11T23:04:47+09:00,2900
M0002,3076,2026-08-11,2026-08-11T10:53:13+09:00,-100
M0002,3076,2026-08-11,2026-08-11T11:28:39+09:00,-800
M0002,3076,2026-08-11,2026-08-11T12:36:02+09:00,-1100
M0002,3076,2026-08-11,2026-08-11T13:06:25+09:00,-1900
M0002,3076,2026-08-11,2026-08-11T13:34:33+09:00,-2400
M0002,3076,2026-08-11,2026-08-11T14:09:42+09:00,-3400
M0002,3076,2026-08-11,2026-08-11T14:50:37+09:00,-2800
M0002,3076,2026-08-11,2026-08-11T15:29:09+09:00,-3200
M0002,3076,2026-08-11,2026-08-11T16:05:23+09:00,-3300
M0002,3076,2026-08-11,2026-08-11T16:40:17+09:00,-3000
M0002,3076,2026-08-11,2026-08-11T17:28:47+09:00,-3600
M0002,3076,2026-08-11,2026-08-11T18:06:29+09:00,-3800
M0002,3076,2026-08-11,2026-08-11T18:41:47+09:00,-4000
M0002,3076,2026-08-11,2026-08-11T19:30:51+09:00,-4400
M0002,3076,2026-08-11,2026-08-11T20:08:57+09:00,-4200
M0003,3077,2026-08-11,2026-08-11T10:53:13+09:00,-200
M0003,3077,2026-08-11,2026-08-11T11:28:39+09:00,-700
M0003,3077,2026-08-11,2026-08-11T12:02:43+09:00,-1000
M0003,3077,2026-08-11,2026-08-11T12:36:02+09:00,1900
M0003,3077,2026-08-11,2026-08-11T13:06:25+09:00,2700
M0003,3077,2026-08-11,2026-08-11T14:09:42+09:00,2500
M0003,3077,2026-08-11,2026-08-11T14:50:37+09:00,3000
M0003,3077,2026-08-11,2026-08-11T15:29:09+09:00,2800
M0003,3077,2026-08-11,2026-08-11T16:05:23+09:00,2100
M0003,3077,2026-08-11,2026-08-11T16:40:17+09:00,1500
M0003,3077,2026-08-11,2026-08-11T17:28:47+09:00,900
M0003,3077,2026-08-11,2026-08-11T18:06:29+09:00,500
