data_date,avg_final_slump,machine_count,plus_count,minus_count
2026-08-11,-633,30,11,19
2026-08-12,313,30,11,19
2026-08-13,-380,30,12,18
2026-08-14,1137,30,13,16
2026-08-15,1227,30,16,14
2026-08-16,-677,30,13,17
2026-08-17,-27,30,11,19
2026-08-18,1240,30,16,14
2026-08-19,-110,30,12,18
2026-08-20,-1073,30,6,24
2026-08-22,1360,30,18,12
2026-08-23,-37,30,12,17
2026-08-24,183,30,14,16
2026-08-25,1047,30,16,14
2026-08-26,497,30,11,19
2026-08-27,-1247,30,4,24
2026-08-28,150,30,12,18
2026-08-29,-383,30,14,16
2026-08-30,1020,30,18,12
2026-08-31,2267,30,17,13
2026-09-01,200,30,13,16
