data_date,unit_number,n_official,n_derived_events,n_derived_points,official_final,derived_final,final_diff,mae,rmse,mean_error,error_stdev,corr,official_min,official_max,derived_min,derived_max
2026-08-12,3075,15,44,90,-1900.0,-2178.3,-278.3,650.1,784.6,-308.7,721.3,0.8107,-4100.0,-100.0,-4457.7,0.0
2026-08-13,3075,18,69,140,6400.0,5550.7,-849.3,1017.1,1222.3,-76.6,1219.9,0.8433,-800.0,6400.0,-961.7,6063.7
2026-08-14,3075,18,46,94,-3500.0,-3710.0,-210.0,464.8,552.8,-310.1,457.6,0.9316,-4600.0,-200.0,-5379.3,0.0
2026-08-15,3075,19,66,134,-4200.0,-4616.0,-416.0,582.8,660.0,-423.2,506.5,0.9636,-5800.0,-100.0,-6435.7,0.0
2026-08-16,3075,14,60,122,3800.0,3104.0,-696.0,625.7,740.4,-169.2,720.8,0.9193,-1800.0,3800.0,-2733.0,3499.3
2026-08-17,3075,17,51,104,1000.0,561.3,-438.7,559.1,807.1,-4.2,807.1,0.5933,-1600.0,1400.0,-1862.3,1194.3
2026-08-18,3075,19,13,28,1900.0,-105.3,-2005.3,1219.1,1488.9,-934.3,1159.3,0.1098,-1400.0,2300.0,-1137.7,52.3
2026-08-19,3075,10,38,78,-200.0,-376.7,-176.7,532.3,798.5,34.0,797.8,0.5483,-2500.0,-200.0,-2824.0,71.3
2026-08-20,3075,11,16,34,-2600.0,-2770.3,-170.3,381.9,477.7,-210.1,429.0,0.9370,-3400.0,-200.0,-3567.7,0.0
2026-08-23,3075,17,76,154,-400.0,-883.7,-483.7,578.7,665.1,-419.1,516.4,0.4606,-1100.0,700.0,-1767.0,572.0
2026-08-24,3075,19,56,114,400.0,-6.7,-406.7,786.2,1060.8,-237.4,1033.9,0.5701,-1400.0,2700.0,-1574.0,2576.7
2026-08-25,3075,20,93,188,1200.0,676.0,-524.0,516.0,585.8,-191.1,553.7,0.5065,-800.0,1200.0,-1055.3,1346.7
2026-08-26,3075,14,55,112,700.0,201.0,-499.0,692.4,1005.0,-61.2,1003.1,0.3960,-2000.0,1500.0,-2162.0,1629.0
2026-08-27,3075,13,20,42,-3400.0,-3459.3,-59.3,534.1,664.6,-479.4,460.3,0.9045,-3400.0,0.0,-3459.3,0.0
2026-08-28,3075,13,26,54,-2000.0,-2167.7,-167.7,413.6,500.1,-271.2,420.2,0.7527,-2000.0,0.0,-2169.3,0.0
2026-08-29,3075,17,82,166,-2700.0,-3363.3,-663.3,784.3,876.5,-569.6,666.2,0.8132,-2700.0,900.0,-3429.7,900.0
2026-08-30,3075,18,69,140,-6000.0,-6272.0,-272.0,531.3,646.1,-466.5,446.9,0.9788,-6600.0,-100.0,-6902.7,296.0
2026-08-31,3075,18,72,146,4200.0,3789.0,-411.0,679.2,937.7,157.1,924.4,0.8890,-1200.0,4200.0,-1427.3,4305.0
2026-09-01,3075,11,43,88,5100.0,4732.7,-367.3,782.7,941.5,224.8,914.3,0.9134,-1300.0,5400.0,-1936.0,5350.3
