machine_code,unit_number,data_date,kind,event_seq,event_type,sampled_at_jst,start_count,payout,consumption,delta,cum_games,slump_value
M0001,3075,2026-08-12,origin,,,2026-08-12T10:33:00+09:00,0,0,0.0000,0.0000,0,0.0000
M0001,3075,2026-08-12,pre_payout,1,BB,2026-08-12T10:33:00+09:00,354,81,590.0000,-509.0000,354,-590.0000
M0001,3075,2026-08-12,post_payout,1,BB,2026-08-12T10:33:00+09:00,354,81,590.0000,-509.0000,354,-509.0000
M0001,3075,2026-08-12,pre_payout,2,ART,2026-08-12T10:35:00+09:00,0,-2,0.0000,-2.0000,354,-509.0000
M0001,3075,2026-08-12,post_payout,2,ART,2026-08-12T10:35:00+09:00,0,-2,0.0000,-2.0000,354,-511.0000
M0001,3075,2026-08-12,pre_payout,3,BB,2026-08-12T10:39:00+09:00,40,87,66.6667,20.3333,394,-577.6667
M0001,3075,2026-08-12,post_payout,3,BB,2026-08-12T10:39:00+09:00,40,87,66.6667,20.3333,394,-490.6667
M0001,3075,2026-08-12,pre_payout,4,ART,2026-08-12T10:39:00+09:00,1,0,1.6667,-1.6667,395,-492.3333
M0001,3075,2026-08-12,post_payout,4,ART,2026-08-12T10:39:00+09:00,1,0,1.6667,-1.6667,395,-492.3333
M0001,3075,2026-08-12,pre_payout,5,BB,2026-08-12T10:45:00+09:00,3,171,5.0000,166.0000,398,-497.3333
M0001,3075,2026-08-12,post_payout,5,BB,2026-08-12T10:45:00+09:00,3,171,5.0000,166.0000,398,-326.3333
M0001,3075,2026-08-12,pre_payout,6,BB,2026-08-12T11:36:00+09:00,685,87,1141.6667,-1054.6667,1083,-1468.0000
M0001,3075,2026-08-12,post_payout,6,BB,2026-08-12T11:36:00+09:00,685,87,1141.6667,-1054.6667,1083,-1381.0000
M0001,3075,2026-08-12,pre_payout,7,ART,2026-08-12T11:37:00+09:00,0,-2,0.0000,-2.0000,1083,-1381.0000
M0001,3075,2026-08-12,post_payout,7,ART,2026-08-12T11:37:00+09:00,0,-2,0.0000,-2.0000,1083,-1383.0000
M0001,3075,2026-08-12,pre_payout,8,BB,2026-08-12T11:52:00+09:00,199,207,331.6667,-124.6667,1282,-1714.6667
M0001,3075,2026-08-12,post_payout,8,BB,2026-08-12T11:52:00+09:00,199,207,331.6667,-124.6667,1282,-1507.6667
M0001,3075,2026-08-12,pre_payout,9,ART,2026-08-12T11:54:00+09:00,1,-2,1.6667,-3.6667,1283,-1509.3333
M0001,3075,2026-08-12,post_payout,9,ART,2026-08-12T11:54:00+09:00,1,-2,1.6667,-3.6667,1283,-1511.3333
M0001,3075,2026-08-12,pre_payout,10,BB,2026-08-12T11:55:00+09:00,4,164,6.6667,157.3333,1287,-1518.0000
M0001,3075,2026-08-12,post_payout,10,BB,2026-08-12T11:55:00+09:00,4,164,6.6667,157.3333,1287,-1354.0000
M0001,3075,2026-08-12,pre_payout,11,BB,2026-08-12T11:59:00+09:00,5,316,8.3333,307.6667,1292,-1362.3333
M0001,3075,2026-08-12,post_payout,11,BB,2026-08-12T11:59:00+09:00,5,316,8.3333,307.6667,1292,-1046.3333
M0001,3075,2026-08-12,pre_payout,12,BB,2026-08-12T12:04:00+09:00,13,85,21.6667,63.3333,1305,-1068.0000
M0001,3075,2026-08-12,post_payout,12,BB,2026-08-12T12:04:00+09:00,13,85,21.6667,63.3333,1305,-983.0000
M0001,3075,2026-08-12,pre_payout,13,BB,2026-08-12T12:08:00+09:00,43,85,71.6667,13.3333,1348,-1054.6667
M0001,3075,2026-08-12,post_payout,13,BB,2026-08-12T12:08:00+09:00,43,85,71.6667,13.3333,1348,-969.6667
M0001,3075,2026-08-12,pre_payout,14,ART,2026-08-12T12:09:00+09:00,1,-2,1.6667,-3.6667,1349,-971.3333
M0001,3075,2026-08-12,post_payout,14,ART,2026-08-12T12:09:00+09:00,1,-2,1.6667,-3.6667,1349,-973.3333
M0001,3075,2026-08-12,pre_payout,15,BB,2026-08-12T12:11:00+09:00,4,449,6.6667,442.3333,1353,-980.0000
M0001,3075,2026-08-12,post_payout,15,BB,2026-08-12T12:11:00+09:00,4,449,6.6667,442.3333,1353,-531.0000
M0001,3075,2026-08-12,pre_payout,16,BB,2026-08-12T12:46:00+09:00,397,87,661.6667,-574.6667,1750,-1192.6667
M0001,3075,2026-08-12,post_payout,16,BB,2026-08-12T12:46:00+09:00,397,87,661.6667,-574.6667,1750,-1105.6667
M0001,3075,2026-08-12,pre_payout,17,ART,2026-08-12T12:47:00+09:00,0,-2,0.0000,-2.0000,1750,-1105.6667
M0001,3075,2026-08-12,post_payout,17,ART,2026-08-12T12:47:00+09:00,0,-2,0.0000,-2.0000,1750,-1107.6667
M0001,3075,2026-08-12,pre_payout,18,BB,2026-08-12T14:14:00+09:00,1032,87,1720.0000,-1633.0000,2782,-2827.6667
M0001,3075,2026-08-12,post_payout,18,BB,2026-08-12T14:14:00+09:00,1032,87,1720.0000,-1633.0000,2782,-2740.6667
M0001,3075,2026-08-12,pre_payout,19,ART,2026-08-12T14:14:00+09:00,1,-2,1.6667,-3.6667,2783,-2742.3333
M0001,3075,2026-08-12,post_payout,19,ART,2026-08-12T14:14:00+09:00,1,-2,1.6667,-3.6667,2783,-2744.3333
M0001,3075,2026-08-12,pre_payout,20,BB,2026-08-12T15:28:00+09:00,1028,87,1713.3333,-1626.3333,3811,-4457.6667
M0001,3075,2026-08-12,post_payout,20,BB,2026-08-12T15:28:00+09:00,1028,87,1713.3333,-1626.3333,3811,-4370.6667
M0001,3075,2026-08-12,pre_payout,21,ART,2026-08-12T15:28:00+09:00,1,-2,1.6667,-3.6667,3812,-4372.3333
M0001,3075,2026-08-12,post_payout,21,ART,2026-08-12T15:28:00+09:00,1,-2,1.6667,-3.6667,3812,-4374.3333
M0001,3075,2026-08-12,pre_payout,22,BB,2026-08-12T15:29:00+09:00,8,318,13.3333,304.6667,3820,-4387.6667
