machine_code,unit_number,data_date,event_seq,event_type,jackpot_no,sampled_at_jst,start_count,payout,consumption,delta,cum_games,slump_value
M0001,3075,2026-08-12,1,BB,1,2026-08-12T10:33:00+09:00,354,81,590.0000,-509.0000,354,-509.0000
M0001,3075,2026-08-12,2,ART,0,2026-08-12T10:35:00+09:00,0,-2,0.0000,-2.0000,354,-511.0000
M0001,3075,2026-08-12,3,BB,2,2026-08-12T10:39:00+09:00,40,87,66.6667,20.3333,394,-490.6667
M0001,3075,2026-08-12,4,ART,0,2026-08-12T10:39:00+09:00,1,0,1.6667,-1.6667,395,-492.3333
M0001,3075,2026-08-12,5,BB,3,2026-08-12T10:45:00+09:00,3,171,5.0000,166.0000,398,-326.3333
M0001,3075,2026-08-12,6,BB,4,2026-08-12T11:36:00+09:00,685,87,1141.6667,-1054.6667,1083,-1381.0000
M0001,3075,2026-08-12,7,ART,0,2026-08-12T11:37:00+09:00,0,-2,0.0000,-2.0000,1083,-1383.0000
M0001,3075,2026-08-12,8,BB,5,2026-08-12T11:52:00+09:00,199,207,331.6667,-124.6667,1282,-1507.6667
M0001,3075,2026-08-12,9,ART,0,2026-08-12T11:54:00+09:00,1,-2,1.6667,-3.6667,1283,-1511.3333
M0001,3075,2026-08-12,10,BB,6,2026-08-12T11:55:00+09:00,4,164,6.6667,157.3333,1287,-1354.0000
M0001,3075,2026-08-12,11,BB,7,2026-08-12T11:59:00+09:00,5,316,8.3333,307.6667,1292,-1046.3333
M0001,3075,2026-08-12,12,BB,8,2026-08-12T12:04:00+09:00,13,85,21.6667,63.3333,1305,-983.0000
M0001,3075,2026-08-12,13,BB,9,2026-08-12T12:08:00+09:00,43,85,71.6667,13.3333,1348,-969.6667
M0001,3075,2026-08-12,14,ART,0,2026-08-12T12:09:00+09:00,1,-2,1.6667,-3.6667,1349,-973.3333
M0001,3075,2026-08-12,15,BB,10,2026-08-12T12:11:00+09:00,4,449,6.6667,442.3333,1353,-531.0000
M0001,3075,2026-08-12,16,BB,11,2026-08-12T12:46:00+09:00,397,87,661.6667,-574.6667,1750,-1105.6667
M0001,3075,2026-08-12,17,ART,0,2026-08-12T12:47:00+09:00,0,-2,0.0000,-2.0000,1750,-1107.6667
M0001,3075,2026-08-12,18,BB,12,2026-08-12T14:14:00+09:00,1032,87,1720.0000,-1633.0000,2782,-2740.6667
M0001,3075,2026-08-12,19,ART,0,2026-08-12T14:14:00+09:00,1,-2,1.6667,-3.6667,2783,-2744.3333
M0001,3075,2026-08-12,20,BB,13,2026-08-12T15:28:00+09:00,1028,87,1713.3333,-1626.3333,3811,-4370.6667
M0001,3075,2026-08-12,21,ART,0,2026-08-12T15:28:00+09:00,1,-2,1.6667,-3.6667,3812,-4374.3333
M0001,3075,2026-08-12,22,BB,14,2026-08-12T15:29:00+09:00,8,318,13.3333,304.6667,3820,-4069.6667
M0001,3075,2026-08-12,23,BB,15,2026-08-12T15:32:00+09:00,7,249,11.6667,237.3333,3827,-3832.3333
M0001,3075,2026-08-12,24,BB,16,2026-08-12T15:35:00+09:00,6,167,10.0000,157.0000,3833,-3675.3333
M0001,3075,2026-08-12,25,BB,17,2026-08-12T17:41:00+09:00,70,85,116.6667,-31.6667,3903,-3707.0000
M0001,3075,2026-08-12,26,ART,0,2026-08-12T17:42:00+09:00,0,-2,0.0000,-2.0000,3903,-3709.0000
M0001,3075,2026-08-12,27,BB,18,2026-08-12T17:43:00+09:00,4,166,6.6667,159.3333,3907,-3549.6667
M0001,3075,2026-08-12,28,BB,19,2026-08-12T17:45:00+09:00,13,277,21.6667,255.3333,3920,-3294.3333
M0001,3075,2026-08-12,29,BB,20,2026-08-12T17:48:00+09:00,12,599,20.0000,579.0000,3932,-2715.3333
M0001,3075,2026-08-12,30,BB,21,2026-08-12T17:59:00+09:00,46,457,76.6667,380.3333,3978,-2335.0000
M0001,3075,2026-08-12,31,ART,0,2026-08-12T18:03:00+09:00,0,0,0.0000,0.0000,3978,-2335.0000
M0001,3075,2026-08-12,32,BB,22,2026-08-12T18:04:00+09:00,8,595,13.3333,581.6667,3986,-1753.3333
M0001,3075,2026-08-12,33,BB,23,2026-08-12T20:33:00+09:00,298,87,496.6667,-409.6667,4284,-2163.0000
M0001,3075,2026-08-12,34,ART,0,2026-08-12T20:34:00+09:00,0,-2,0.0000,-2.0000,4284,-2165.0000
M0001,3075,2026-08-12,35,BB,24,2026-08-12T20:35:00+09:00,5,244,8.3333,235.6667,4289,-1929.3333
M0001,3075,2026-08-12,36,BB,25,2026-08-12T20:38:00+09:00,4,165,6.6667,158.3333,4293,-1771.0000
M0001,3075,2026-08-12,37,BB,26,2026-08-12T20:52:00+09:00,176,87,293.3333,-206.3333,4469,-1977.3333
M0001,3075,2026-08-12,38,ART,0,2026-08-12T20:53:00+09:00,0,-2,0.0000,-2.0000,4469,-1979.3333
M0001,3075,2026-08-12,39,BB,27,2026-08-12T20:58:00+09:00,64,85,106.6667,-21.6667,4533,-2001.0000
M0001,3075,2026-08-12,40,ART,0,2026-08-12T20:58:00+09:00,1,-2,1.6667,-3.6667,4534,-2004.6667
M0001,3075,2026-08-12,41,BB,28,2026-08-12T21:29:00+09:00,434,85,723.3333,-638.3333,4968,-2643.0000
M0001,3075,2026-08-12,42,ART,0,2026-08-12T21:29:00+09:00,1,-2,1.6667,-3.6667,4969,-2646.6667
M0001,3075,2026-08-12,43,BB,29,2026-08-12T21:30:00+09:00,4,256,6.6667,249.3333,4973,-2397.3333
M0001,3075,2026-08-12,44,BB,30,2026-08-12T21:33:00+09:00,6,269,10.0000,259.0000,4979,-2138.3333
M0001,3075,2026-08-13,1,BB,1,2026-08-13T10:47:00+09:00,577,85,961.6667,-876.6667,577,-876.6667
M0001,3075,2026-08-13,2,ART,0,2026-08-13T10:50:00+09:00,0,0,0.0000,0.0000,577,-876.6667
